time,price,magnetisation,return
150,0.935758,-0.096800,-3.193667
151,0.929788,-0.103200,-2.323151
152,0.926076,-0.107200,-1.452630
153,0.924596,-0.108800,-0.582117
154,0.927559,-0.105600,1.158920
155,0.923856,-0.109600,-1.452633
156,0.929044,-0.104000,2.029436
157,0.932022,-0.100800,1.158920
158,0.938006,-0.094400,2.319608
159,0.943274,-0.088800,2.029439
160,0.941766,-0.090400,-0.582117
161,0.938757,-0.093600,-1.162458
162,0.941766,-0.090400,1.158918
163,0.938757,-0.093600,-1.162458
164,0.939508,-0.092800,0.288402
165,0.935009,-0.097600,-1.742804
166,0.926076,-0.107200,-3.483839
167,0.922379,-0.111200,-1.452633
168,0.915762,-0.118400,-2.613323
169,0.918697,-0.115200,1.158920
170,0.917228,-0.116800,-0.582117
171,0.919432,-0.114400,0.868748
172,0.921642,-0.112000,0.868746
173,0.916495,-0.117600,-2.032976
174,0.915762,-0.118400,-0.291942
175,0.914298,-0.120000,-0.582114
176,0.920168,-0.113600,2.319608
177,0.926076,-0.107200,2.319611
178,0.935009,-0.097600,3.480299
179,0.944784,-0.087200,3.770471
180,0.947812,-0.084000,1.158920
181,0.948571,-0.083200,0.288402
182,0.947812,-0.084000,-0.291942
183,0.944784,-0.087200,-1.162460
184,0.947812,-0.084000,1.158920
185,0.953898,-0.077600,2.319608
186,0.959255,-0.072000,2.029439
187,0.959255,-0.072000,-0.001770
188,0.971612,-0.059200,4.640988
189,0.972389,-0.058400,0.288402
190,0.963870,-0.067200,-3.193666
191,0.968508,-0.062400,1.739264
192,0.973168,-0.057600,1.739264
193,0.978633,-0.052000,2.029436
194,0.979416,-0.051200,0.288403
195,0.974726,-0.056000,-1.742806
196,0.972389,-0.058400,-0.872287
197,0.968508,-0.062400,-1.452631
198,0.968508,-0.062400,-0.001770
199,0.968508,-0.062400,-0.001770
200,0.970835,-0.060000,0.868747
201,0.966186,-0.064800,-1.742806
202,0.969283,-0.061600,1.158920
203,0.970059,-0.060800,0.288402
204,0.956955,-0.074400,-4.934701
205,0.958487,-0.072800,0.578574
206,0.954661,-0.076800,-1.452633
207,0.953898,-0.077600,-0.291942
208,0.959254,-0.072000,2.029439
209,0.963099,-0.068000,1.449090
210,0.963099,-0.068000,-0.001770
211,0.956955,-0.074400,-2.323148
212,0.963099,-0.068000,2.319608
213,0.961559,-0.069600,-0.582114
214,0.967733,-0.063200,2.319611
215,0.973168,-0.057600,2.029436
216,0.971612,-0.059200,-0.582115
