time,price,magnetisation,return
156,1.060139,0.007200,-0.000806
157,1.061836,0.008800,0.699721
158,1.061836,0.008800,-0.000806
159,1.060139,0.007200,-0.701332
160,1.059291,0.006400,-0.351069
161,1.059291,0.006400,-0.000806
162,1.059291,0.006400,-0.000806
163,1.059291,0.006400,-0.000806
164,1.059291,0.006400,-0.000806
165,1.058444,0.005600,-0.351069
166,1.060139,0.007200,0.699721
167,1.061836,0.008800,0.699721
168,1.062686,0.009600,0.349458
169,1.061836,0.008800,-0.351069
170,1.062686,0.009600,0.349458
171,1.064388,0.011200,0.699720
172,1.065240,0.012000,0.349458
173,1.064388,0.011200,-0.351069
174,1.065240,0.012000,0.349458
175,1.064388,0.011200,-0.351069
176,1.064388,0.011200,-0.000806
177,1.062686,0.009600,-0.701331
178,1.060987,0.008000,-0.701332
179,1.060139,0.007200,-0.351069
180,1.058444,0.005600,-0.701332
181,1.060139,0.007200,0.699721
182,1.059291,0.006400,-0.351069
183,1.054219,0.001600,-2.102384
184,1.053375,0.000800,-0.351069
185,1.055907,0.003200,1.049984
186,1.055907,0.003200,-0.000806
187,1.054219,0.001600,-0.701332
188,1.053375,0.000800,-0.351069
189,1.055062,0.002400,0.699721
190,1.054218,0.001600,-0.351069
191,1.054218,0.001600,-0.000806
192,1.054218,0.001600,-0.000806
193,1.055062,0.002400,0.349458
194,1.055062,0.002400,-0.000806
195,1.054218,0.001600,-0.351069
196,1.055907,0.003200,0.699721
197,1.054218,0.001600,-0.701332
198,1.055907,0.003200,0.699721
199,1.057597,0.004800,0.699721
200,1.057597,0.004800,-0.000806
201,1.056751,0.004000,-0.351069
202,1.055906,0.003200,-0.351069
203,1.055062,0.002400,-0.351069
204,1.054218,0.001600,-0.351069
205,1.056751,0.004000,1.049984
206,1.055906,0.003200,-0.351069
207,1.055062,0.002400,-0.351069
208,1.055062,0.002400,-0.000806
209,1.055906,0.003200,0.349457
210,1.055906,0.003200,-0.000806
211,1.055062,0.002400,-0.351069
212,1.055062,0.002400,-0.000806
213,1.055062,0.002400,-0.000806
214,1.055062,0.002400,-0.000806
215,1.053375,0.000800,-0.701332
216,1.054218,0.001600,0.349458
217,1.055907,0.003200,0.699721
218,1.056752,0.004000,0.349458
219,1.056752,0.004000,-0.000806
220,1.056752,0.004000,-0.000806
221,1.054218,0.001600,-1.051595
222,1.055907,0.003200,0.699721
223,1.056752,0.004000,0.349458
224,1.056752,0.004000,-0.000806
225,1.056752,0.004000,-0.000806
226,1.055062,0.002400,-0.701332
227,1.054218,0.001600,-0.351069
228,1.055062,0.002400,0.349458
229,1.055062,0.002400,-0.000806
230,1.056752,0.004000,0.699721
231,1.055907,0.003200,-0.351069
232,1.055062,0.002400,-0.351069
233,1.052533,0.000000,-1.051595
234,1.055062,0.002400,1.049984
235,1.055907,0.003200,0.349457
236,1.056752,0.004000,0.349458
237,1.057597,0.004800,0.349458
238,1.056752,0.004000,-0.351069
239,1.057597,0.004800,0.349458
240,1.058444,0.005600,0.349457
241,1.059291,0.006400,0.349458
242,1.061836,0.008800,1.049984
243,1.060139,0.007200,-0.701332
244,1.060139,0.007200,-0.000806
245,1.058444,0.005600,-0.701332
246,1.057597,0.004800,-0.351069
247,1.059291,0.006400,0.699721
248,1.058444,0.005600,-0.351069
249,1.059291,0.006400,0.349458
250,1.060139,0.007200,0.349458
251,1.060987,0.008000,0.349458
252,1.060139,0.007200,-0.351069
253,1.057597,0.004800,-1.051595
254,1.057597,0.004800,-0.000806
255,1.055062,0.002400,-1.051595
256,1.055062,0.002400,-0.000806
257,1.055062,0.002400,-0.000806
258,1.056752,0.004000,0.699721
259,1.054218,0.001600,-1.051595
260,1.053375,0.000800,-0.351069
261,1.054218,0.001600,0.349458
262,1.054218,0.001600,-0.000806
263,1.053375,0.000800,-0.351069
264,1.054218,0.001600,0.349458
265,1.055062,0.002400,0.349458
266,1.055062,0.002400,-0.000806
267,1.053375,0.000800,-0.701332
268,1.054219,0.001600,0.349458
269,1.056752,0.004000,1.049984
270,1.055907,0.003200,-0.351069
271,1.054219,0.001600,-0.701332
272,1.053375,0.000800,-0.351069
273,1.052533,0.000000,-0.351069
274,1.053375,0.000800,0.349458
275,1.052533,0.000000,-0.351069
276,1.056752,0.004000,1.750510
277,1.056752,0.004000,-0.000806
278,1.057598,0.004800,0.349458
279,1.057598,0.004800,-0.000806
280,1.057598,0.004800,-0.000806
281,1.057598,0.004800,-0.000806
282,1.059291,0.006400,0.699721
283,1.057598,0.004800,-0.701332
284,1.059291,0.006400,0.699721
285,1.060139,0.007200,0.349458
286,1.061836,0.008800,0.699721
287,1.060987,0.008000,-0.351069
288,1.057598,0.004800,-1.401858
289,1.057598,0.004800,-0.000806
290,1.057598,0.004800,-0.000806
291,1.057598,0.004800,-0.000806
292,1.055907,0.003200,-0.701332
293,1.058444,0.005600,1.049984
294,1.057598,0.004800,-0.351069
295,1.057598,0.004800,-0.000806
296,1.055907,0.003200,-0.701332
297,1.056752,0.004000,0.349458
298,1.057598,0.004800,0.349458
299,1.058444,0.005600,0.349457
300,1.060139,0.007200,0.699721
301,1.059291,0.006400,-0.351069
302,1.059291,0.006400,-0.000806
303,1.058444,0.005600,-0.351069
304,1.061837,0.008800,1.400247
305,1.060987,0.008000,-0.351069
306,1.065240,0.012000,1.750510
307,1.065240,0.012000,-0.000806
308,1.065240,0.012000,-0.000806
309,1.066092,0.012800,0.349457
310,1.068654,0.015200,1.049984
311,1.069509,0.016000,0.349458
312,1.072079,0.018400,1.049984
313,1.070365,0.016800,-0.701332
314,1.070365,0.016800,-0.000806
315,1.071222,0.017600,0.349458
316,1.070365,0.016800,-0.351069
317,1.072079,0.018400,0.699721
318,1.069509,0.016000,-1.051595
319,1.073796,0.020000,1.750510
320,1.076376,0.022400,1.049984
321,1.079826,0.025600,1.400247
322,1.077238,0.023200,-1.051595
323,1.078963,0.024800,0.699721
324,1.079826,0.025600,0.349457
325,1.074655,0.020800,-2.102384
326,1.075516,0.021600,0.349458
327,1.075516,0.021600,-0.000806
328,1.075516,0.021600,-0.000806
329,1.076376,0.022400,0.349457
330,1.078100,0.024000,0.699721
331,1.078963,0.024800,0.349458
332,1.081555,0.027200,1.049984
333,1.078963,0.024800,-1.051595
334,1.080690,0.026400,0.699720
335,1.083287,0.028800,1.049984
336,1.084154,0.029600,0.349458
337,1.085022,0.030400,0.349458
338,1.084154,0.029600,-0.351069
339,1.085890,0.031200,0.699720
340,1.086759,0.032000,0.349459
341,1.088499,0.033600,0.699719
342,1.090242,0.035200,0.699721
343,1.087629,0.032800,-1.051595
344,1.091115,0.036000,1.400246
345,1.088499,0.033600,-1.051595
346,1.087629,0.032800,-0.351068
347,1.086759,0.032000,-0.351068
348,1.082421,0.028000,-1.752121
349,1.080690,0.026400,-0.701332
350,1.079826,0.025600,-0.351069
351,1.080690,0.026400,0.349458
352,1.078963,0.024800,-0.701331
353,1.078963,0.024800,-0.000806
354,1.078100,0.024000,-0.351069
355,1.078963,0.024800,0.349458
356,1.078100,0.024000,-0.351069
357,1.079826,0.025600,0.699720
358,1.080690,0.026400,0.349458
359,1.081555,0.027200,0.349458
360,1.083287,0.028800,0.699720
361,1.084154,0.029600,0.349458
362,1.081555,0.027200,-1.051595
363,1.082421,0.028000,0.349458
364,1.081555,0.027200,-0.351069
365,1.079826,0.025600,-0.701332
366,1.078963,0.024800,-0.351068
367,1.080690,0.026400,0.699720
368,1.077238,0.023200,-1.401858
369,1.078963,0.024800,0.699721
370,1.077238,0.023200,-0.701332
371,1.073796,0.020000,-1.401858
372,1.071222,0.017600,-1.051595
373,1.071222,0.017600,-0.000806
374,1.072937,0.019200,0.699721
375,1.073796,0.020000,0.349457
376,1.072079,0.018400,-0.701331
377,1.072079,0.018400,-0.000806
378,1.072079,0.018400,-0.000806
379,1.074655,0.020800,1.049984
380,1.075515,0.021600,0.349458
381,1.074655,0.020800,-0.351069
382,1.076376,0.022400,0.699720
383,1.074655,0.020800,-0.701331
384,1.072937,0.019200,-0.701331
385,1.072079,0.018400,-0.351069
386,1.072937,0.019200,0.349458
387,1.072937,0.019200,-0.000806
388,1.072079,0.018400,-0.351069
389,1.071222,0.017600,-0.351069
390,1.071222,0.017600,-0.000806
391,1.070365,0.016800,-0.351069
392,1.068654,0.015200,-0.701331
393,1.069509,0.016000,0.349458
394,1.067799,0.014400,-0.701332
395,1.069509,0.016000,0.699721
396,1.067799,0.014400,-0.701332
397,1.064388,0.011200,-1.401858
398,1.065240,0.012000,0.349458
399,1.064388,0.011200,-0.351069
400,1.064388,0.011200,-0.000806
401,1.064388,0.011200,-0.000806
402,1.066092,0.012800,0.699721
403,1.068654,0.015200,1.049984
404,1.067799,0.014400,-0.351069
405,1.068654,0.015200,0.349458
406,1.070365,0.016800,0.699720
407,1.069509,0.016000,-0.351068
408,1.070365,0.016800,0.349457
409,1.068654,0.015200,-0.701331
410,1.068654,0.015200,-0.000806
411,1.068654,0.015200,-0.000806
412,1.067799,0.014400,-0.351069
413,1.062686,0.009600,-2.102384
414,1.061836,0.008800,-0.351069
415,1.060987,0.008000,-0.351069
416,1.063537,0.010400,1.049984
417,1.065240,0.012000,0.699721
418,1.065240,0.012000,-0.000806
419,1.064388,0.011200,-0.351069
420,1.065240,0.012000,0.349458
421,1.066092,0.012800,0.349457
422,1.066945,0.013600,0.349458
423,1.065240,0.012000,-0.701332
424,1.066945,0.013600,0.699721
425,1.063537,0.010400,-1.401858
426,1.062686,0.009600,-0.351069
427,1.061836,0.008800,-0.351069
428,1.066092,0.012800,1.750510
429,1.066092,0.012800,-0.000806
430,1.065240,0.012000,-0.351069
431,1.066092,0.012800,0.349457
432,1.069509,0.016000,1.400247
433,1.068654,0.015200,-0.351069
434,1.071222,0.017600,1.049984
435,1.068654,0.015200,-1.051595
436,1.071222,0.017600,1.049984
437,1.070365,0.016800,-0.351069
438,1.071222,0.017600,0.349458
439,1.071222,0.017600,-0.000806
440,1.069509,0.016000,-0.701331
441,1.074655,0.020800,2.100773
442,1.073796,0.020000,-0.351069
443,1.073796,0.020000,-0.000806
444,1.071222,0.017600,-1.051595
445,1.073796,0.020000,1.049984
446,1.074655,0.020800,0.349458
447,1.074655,0.020800,-0.000806
448,1.073796,0.020000,-0.351069
449,1.072079,0.018400,-0.701331
450,1.069509,0.016000,-1.051595
451,1.069509,0.016000,-0.000806
452,1.067800,0.014400,-0.701332
453,1.067800,0.014400,-0.000806
454,1.066092,0.012800,-0.701332
455,1.066092,0.012800,-0.000806
456,1.064388,0.011200,-0.701332
457,1.063537,0.010400,-0.351069
458,1.063537,0.010400,-0.000806
459,1.063537,0.010400,-0.000806
460,1.061837,0.008800,-0.701332
461,1.062687,0.009600,0.349458
462,1.064388,0.011200,0.699720
463,1.066093,0.012800,0.699721
464,1.066093,0.012800,-0.000806
465,1.064388,0.011200,-0.701332
466,1.065240,0.012000,0.349458
467,1.064388,0.011200,-0.351069
468,1.061837,0.008800,-1.051595
469,1.062687,0.009600,0.349458
470,1.062687,0.009600,-0.000806
471,1.064388,0.011200,0.699720
472,1.066946,0.013600,1.049984
473,1.066946,0.013600,-0.000806
474,1.066946,0.013600,-0.000806
475,1.067800,0.014400,0.349457
476,1.066093,0.012800,-0.701332
477,1.064389,0.011200,-0.701332
478,1.065240,0.012000,0.349458
479,1.065240,0.012000,-0.000806
480,1.065240,0.012000,-0.000806
481,1.066946,0.013600,0.699721
