time,close
0,33.760857
1,31.435476
2,29.885237
3,30.488081
4,30.746485
5,31.521599
6,31.004843
7,30.574221
8,30.143589
9,30.488081
10,32.038364
11,31.693861
12,31.607738
13,31.779951
14,32.210579
15,32.641197
16,33.760857
17,35.138866
18,35.311085
19,33.674713
20,34.105347
21,35.138866
22,35.311085
23,35.311085
24,35.311085
25,36.172337
26,37.378071
27,38.583794
28,41.684307
29,39.445049
30,37.378071
31,37.550335
32,36.861309
33,35.827854
34,34.966591
35,34.277569
36,35.827854
37,36.861309
38,36.000069
39,34.363705
40,36.000069
41,34.966591
42,34.966591
43,35.138866
44,37.033581
45,38.239319
46,37.722553
47,36.689091
48,37.722553
49,36.689091
50,35.483349
51,35.655567
52,34.794312
53,36.344604
54,35.827854
55,37.205853
56,38.583794
57,39.961815
58,39.445049
59,40.134094
60,40.995323
61,41.167545
62,40.134094
63,40.134094
64,37.894821
65,37.894821
66,36.000069
67,36.516819
68,36.689091
69,37.033581
70,36.172337
71,35.655567
72,34.794312
73,34.105347
74,30.488081
75,30.918762
76,30.401991
77,29.971373
78,29.971373
79,29.971373
80,29.712969
81,29.540745
82,30.488081
83,32.038364
84,32.038364
85,31.952221
86,31.779951
87,29.971373
88,29.454605
89,28.679506
90,28.679506
91,27.301489
92,27.301489
93,28.507223
94,28.24888
95,29.37805
96,28.062622
97,25.519447
98,25.694853
99,25.957924
100,25.87027
101,25.431784
102,25.519447
103,24.730192
104,24.554831
105,24.554831
106,24.993303
107,26.221039
108,27.098
109,27.53648
110,27.53648
111,27.185703
112,27.361073
113,28.238033
114,28.413433
115,27.799547
116,28.851921
117,29.465761
118,30.605835
119,30.693501
120,29.991949
121,30.430437
122,30.079655
123,29.641172
124,30.255018
125,30.430437
126,30.518135
127,29.904249
128,30.079655
129,30.518135
130,31.131973
131,31.833574
132,31.92128
133,32.096634
134,32.710533
135,32.798195
136,33.499783
137,32.710533
138,33.762856
139,33.850555
140,33.236664
141,33.236664
142,34.815228
143,35.604481
144,35.2537
145,34.11364
146,34.025978
147,33.149025
148,32.973602
149,32.184353
150,32.184353
151,32.885895
152,33.061306
153,33.58749
154,34.025978
155,33.762856
156,33.58749
157,33.675152
158,33.499783
159,33.412083
160,34.28904
161,35.429066
162,35.955261
163,35.0783
164,35.0783
165,35.779892
166,35.955261
167,36.130657
168,35.429066
169,34.639816
170,34.902885
171,35.2537
172,35.779892
173,36.306034
174,37.007622
175,36.481449
176,36.306034
177,35.779892
178,35.429066
179,34.902885
180,33.938259
181,33.938259
182,34.11364
183,33.412083
184,32.184353
185,33.149025
186,32.53511
187,31.92128
188,31.307394
189,32.359715
190,31.92128
191,32.359715
192,32.710533
193,32.973602
194,32.973602
195,32.622833
196,33.061306
197,33.58749
198,33.58749
199,32.622833
200,32.369408
201,32.10482
202,32.10482
203,31.487398
204,31.487398
205,31.399193
206,30.42898
207,30.693607
208,31.663826
209,31.399193
210,31.222767
211,30.781815
212,30.693607
213,30.693607
214,30.164396
215,30.42898
216,31.928404
217,32.457607
218,32.810406
219,32.545776
220,33.251408
221,32.810406
222,32.457607
223,31.928404
224,31.310984
225,32.10482
226,31.928404
227,32.10482
228,31.928404
229,32.369408
230,32.369408
231,31.840191
232,31.487398
233,31.575607
234,31.928404
235,32.10482
236,31.663826
237,30.958191
238,31.134607
239,31.134607
240,31.840191
241,33.956989
242,34.486195
243,34.838982
244,34.662609
245,35.191788
246,35.809204
247,36.338406
248,34.750782
249,35.191788
250,35.632778
251,35.279991
252,35.103565
253,34.838982
254,34.486195
255,34.750782
256,35.191788
257,35.191788
258,35.103565
259,34.574406
260,36.514774
261,36.691216
262,36.867569
263,36.338406
264,36.338406
265,34.838982
266,35.985619
267,35.809204
268,36.514774
269,36.514774
270,36.691216
271,37.043999
272,37.043999
273,36.161995
274,36.338406
275,35.456409
276,36.514774
277,36.514774
278,36.161995
279,35.809204
280,35.985619
281,36.338406
282,35.632778
283,35.279991
284,34.662609
285,34.574406
286,35.103565
287,34.574406
288,34.486195
289,34.574406
290,34.397987
291,34.486195
292,33.692402
293,33.163185
294,33.339622
295,32.722195
296,33.339622
297,32.545776
298,31.134607
299,31.399193
300,32.722195
301,32.633984
302,32.722195
303,32.545776
304,31.399193
305,31.046402
306,31.751987
307,31.310984
308,31.575607
309,30.693607
310,30.42898
311,29.017811
312,28.400393
313,29.017811
314,27.782984
315,28.135809
316,28.31218
317,28.841391
318,29.017811
319,29.017811
320,28.400393
321,28.400393
322,28.22398
323,27.430182
324,26.989172
325,27.871166
326,28.841391
327,28.841391
328,28.841391
329,28.400393
330,29.105974
331,30.958191
332,30.252611
333,30.693607
334,30.781815
335,30.517185
336,30.517185
337,30.6054
338,30.6054
339,30.6054
340,31.487398
341,31.575607
342,31.222767
343,32.192986
344,32.016609
345,32.192986
346,32.722195
347,32.898617
348,32.016609
349,32.450573
350,32.630383
351,33.259586
352,33.259586
353,33.349487
354,33.259586
355,33.079823
356,33.798946
357,33.259586
358,33.259586
359,32.450573
360,31.731455
361,30.652748
362,30.922459
363,30.922459
364,31.731455
365,32.360668
366,32.72028
367,32.450573
368,31.911215
369,31.731455
370,31.461771
371,30.922459
372,30.832556
373,30.742662
374,30.652748
375,30.473005
376,31.371922
377,30.652748
378,30.652748
379,30.562849
380,30.113398
381,29.663942
382,30.562849
383,30.562849
384,30.562849
385,30.473005
386,29.933638
387,29.933638
388,29.663942
389,29.663942
390,29.124638
391,29.034725
392,28.944838
393,28.854923
394,28.854923
395,29.034725
396,28.495378
397,28.585278
398,28.675171
399,28.225716
400,28.225716
401,27.147005
402,27.147005
403,26.877361
404,27.77627
405,28.675171
406,28.495378
407,28.045923
408,28.045923
409,27.236912
410,26.517811
411,25.349192
412,25.349192
413,24.180628
414,25.079542
415,25.528988
416,25.259342
417,25.888546
418,24.989632
419,24.630083
420,24.360384
421,24.809887
422,25.259342
423,25.798645
424,26.24811
425,26.607658
426,26.877361
427,25.888546
428,25.798645
429,25.888546
430,25.528988
431,24.809887
432,23.461521
433,23.461521
434,23.461521
435,20.944544
436,21.393991
437,21.214247
438,20.135534
439,19.775974
440,20.495085
441,19.686079
442,18.787165
443,18.787165
444,19.506325
445,20.045628
446,20.944544
447,20.944544
448,20.944544
449,20.944544
450,22.113157
451,22.382813
452,22.742357
453,22.023252
454,23.032194
455,22.760178
456,23.848282
457,23.666958
458,23.485584
459,23.757601
460,24.573692
461,23.666958
462,23.213573
463,23.394894
464,24.392365
465,24.392365
466,24.392365
467,24.392365
468,24.392365
469,24.210989
470,23.938971
471,24.120342
472,23.938971
473,24.664377
474,24.573692
475,24.301674
476,24.75507
477,24.75507
478,25.480524
479,25.933863
480,27.022018
481,28.110178
482,28.563519
483,28.200821
484,28.019493
485,27.566101
486,27.838114
487,28.382189
488,28.835581
489,28.291506
490,26.931334
491,26.387255
492,27.384716
493,27.384716
494,28.382189
495,29.470358
496,30.01438
497,29.833052
498,30.195753
499,29.560995
500,30.105064
501,29.379665
502,29.198294
503,29.288971
504,29.470358
505,30.105064
506,30.195753
507,28.835581
508,28.835581
509,28.835581
510,28.835581
511,28.835581
512,29.288971
513,29.379665
514,29.379665
515,29.107594
516,29.107594
517,29.560995
518,30.830465
519,30.377087
520,30.286442
521,29.560995
522,28.926266
523,29.107594
524,28.472876
525,28.200821
526,28.110178
527,27.747419
528,28.200821
529,27.475414
530,27.384716
531,27.20339
532,27.20339
533,27.112713
534,28.200821
535,27.384716
536,27.384716
537,26.840647
538,26.750011
539,26.477947
540,26.205927
541,25.571159
542,25.29915
543,25.933863
544,25.933863
545,25.933863
546,25.933863
547,26.296612
548,26.659315
549,26.024548
550,26.115242
551,26.205927
552,25.661846
553,24.845758
554,24.210989
555,24.392365
556,23.576271
557,23.576271
558,24.120342
559,25.02713
560,24.936443
561,25.752533
562,25.843225
563,26.477947
564,26.024548
565,25.752533
566,26.024548
567,25.752533
568,25.661846
569,25.752533
570,25.389833
571,25.02713
572,24.75507
573,24.75507
574,24.845758
575,25.29915
576,25.29915
577,25.29915
578,25.29915
579,24.75507
580,24.75507
581,25.02713
582,25.02713
583,24.483046
584,24.664377
585,24.392365
586,24.664377
587,24.75507
588,24.845758
589,24.75507
590,26.115242
591,26.568628
592,26.840647
593,26.568628
594,26.931334
595,26.931334
596,26.568628
597,26.387255
598,26.387255
599,26.931334
600,26.931334
601,27.65679
602,27.566101
603,27.65679
604,27.747419
605,27.294043
606,26.931334
607,27.022018
608,27.294043
609,27.463629
610,28.205927
611,28.113131
612,28.577042
613,28.577042
614,28.113131
615,28.113131
616,27.556423
617,27.278093
618,27.278093
619,27.09251
620,26.628597
621,26.350267
622,26.81418
623,26.350267
624,26.443054
625,26.906969
626,26.721394
627,26.999716
628,26.999716
629,26.721394
630,26.350267
631,26.164686
632,25.793556
633,25.608027
634,25.329643
635,24.587406
636,25.051311
637,24.680193
638,24.587406
639,24.401817
640,23.659575
641,24.123487
642,24.123487
643,24.123487
644,23.937902
645,24.49461
646,24.865717
647,24.958521
648,24.680193
649,24.680193
650,24.772932
651,24.216278
652,24.49461
653,24.680193
654,23.937902
655,23.381195
656,23.845106
657,23.473978
658,22.731752
659,23.566778
660,22.54616
661,21.98945
662,21.525589
663,22.453421
664,23.102867
665,22.917278
666,22.54616
667,21.896706
668,21.432793
669,20.783293
670,21.711123
671,21.247213
672,20.597767
673,20.319387
674,20.783293
675,20.319387
676,20.968884
677,20.876091
678,20.783293
679,21.340002
680,21.618328
681,21.618328
682,21.618328
683,21.618328
684,21.154413
685,20.783293
686,20.690498
687,20.690498
688,20.41218
689,20.504967
690,20.876091
691,20.504967
692,20.597767
693,20.504967
694,20.783293
695,20.690498
696,20.690498
697,20.133842
698,19.577135
699,19.948261
700,19.484344
701,19.298756
702,18.834841
703,18.519392
704,18.296728
705,18.333858
706,19.113222
707,19.113222
708,18.296728
709,18.296728
710,18.111147
711,17.368895
712,17.368895
713,17.183311
714,17.345421
715,17.608229
716,17.045057
717,17.307859
718,17.307859
719,18.546829
720,18.546829
721,19.053644
722,19.522949
723,19.241383
724,19.429123
725,19.992252
726,20.179998
727,20.179998
728,20.743168
729,19.992252
730,19.522949
731,19.429123
732,19.429123
733,20.461557
734,20.086123
735,19.992252
736,20.273859
737,20.179998
738,19.71069
739,19.429123
740,19.71069
741,20.273859
742,20.837042
743,20.743168
744,20.837042
745,20.930864
746,21.024729
747,21.306292
748,21.400166
749,21.212469
750,20.837042
751,21.681778
752,21.494032
753,21.494032
754,21.587902
755,21.024729
756,21.024729
757,20.930864
758,20.555428
759,20.367733
760,20.179998
761,20.086123
762,19.804562
763,19.898434
764,20.086123
765,19.429123
766,19.616819
767,19.616819
768,19.616819
769,19.522949
770,19.522949
771,19.522949
772,18.959824
773,18.697016
774,19.053644
775,19.053644
776,18.959824
777,19.71069
778,19.804562
779,19.71069
780,19.804562
781,19.804562
782,19.898434
783,20.086123
784,20.086123
785,20.273859
786,19.71069
787,19.241383
788,18.959824
789,19.053644
790,19.335257
791,19.522949
792,19.335257
793,18.959824
794,19.147518
795,18.959824
796,19.147518
797,19.147518
798,19.147518
799,18.865952
800,18.509274
801,18.321533
802,17.983662
803,18.321533
804,18.321533
805,18.865952
806,18.39665
807,18.321533
808,18.959824
809,19.147518
810,19.429123
811,19.147518
812,18.772085
813,18.65946
814,18.1714
815,18.1714
816,18.434208
817,18.39665
818,18.697016
819,18.321533
820,18.208904
821,17.833477
822,17.533115
823,16.894869
824,16.594505
825,16.669622
826,16.406813
827,16.782248
828,16.444321
829,16.857315
830,17.871033
831,17.983662
832,17.683294
833,17.307859
834,17.232792
835,17.157682
836,16.782248
837,16.782248
838,16.181509
839,16.294189
840,16.406813
841,16.068886
842,16.557001
843,16.932432
844,16.669622
845,15.993822
846,15.843637
847,15.806083
848,15.430645
849,15.731013
850,15.768573
851,15.505768
852,15.505768
853,15.505768
854,15.543269
855,15.280463
856,15.2054
857,15.430645
858,15.580826
859,16.256628
860,16.181509
861,16.181509
862,16.369251
863,16.632067
864,16.519438
865,16.369251
866,16.369251
867,16.669622
868,17.195238
869,17.509911
870,17.626945
871,17.782888
872,17.665903
873,17.470947
874,17.27594
875,17.353958
876,17.743931
877,18.250879
878,18.913826
879,18.562874
880,18.718872
881,18.718872
882,18.523861
883,18.913826
884,19.108837
885,19.108837
886,19.069826
887,19.381815
888,19.303852
889,19.342808
890,19.303852
891,19.498806
892,19.498806
893,19.596306
894,19.69381
895,19.459791
896,19.381815
897,19.147842
898,18.679861
899,18.406874
900,18.328907
901,18.640844
902,18.562874
903,18.250879
904,18.250879
905,18.211864
906,18.211864
907,18.289898
908,18.640844
909,19.030815
910,19.225821
911,19.18681
912,19.069826
913,19.596306
914,19.596306
915,19.888769
916,19.498806
917,19.986273
918,19.888769
919,19.596306
920,19.381815
921,19.498806
922,19.498806
923,19.888769
924,19.888769
