time,price,magnetisation,return
159,1.095487,0.100800,-1.218606
160,1.086758,0.092800,-3.044963
161,1.082419,0.088800,-1.522999
162,1.090241,0.096000,2.738500
163,1.089369,0.095200,-0.305427
164,1.086758,0.092800,-0.914214
165,1.090241,0.096000,1.216537
166,1.087627,0.093600,-0.914214
167,1.085889,0.092000,-0.609819
168,1.086758,0.092800,0.303357
169,1.072078,0.079200,-5.175711
170,1.074654,0.081600,0.912144
171,1.073794,0.080800,-0.305430
172,1.070364,0.077600,-1.218604
173,1.074654,0.081600,1.520929
174,1.072078,0.079200,-0.914214
175,1.074654,0.081600,0.912144
176,1.076375,0.083200,0.607749
177,1.077236,0.084000,0.303357
178,1.072078,0.079200,-1.827391
179,1.065238,0.072800,-2.436175
180,1.058443,0.066400,-2.436178
181,1.052532,0.060800,-2.131783
182,1.052532,0.060800,-0.001035
183,1.056750,0.064800,1.520929
184,1.066091,0.073600,3.347285
185,1.066944,0.074400,0.303357
186,1.070364,0.077600,1.216537
187,1.075514,0.082400,1.825321
188,1.070364,0.077600,-1.827391
189,1.066944,0.074400,-1.218606
190,1.069508,0.076800,0.912144
191,1.066091,0.073600,-1.218606
192,1.069508,0.076800,1.216537
193,1.066944,0.074400,-0.914214
194,1.051690,0.060000,-5.480104
195,1.066091,0.073600,5.173642
196,1.061835,0.069600,-1.522999
197,1.054217,0.062400,-2.740570
198,1.055905,0.064000,0.607752
199,1.057596,0.065600,0.607749
200,1.059290,0.067200,0.607749
201,1.056750,0.064800,-0.914211
202,1.060137,0.068000,1.216537
203,1.058442,0.066400,-0.609822
204,1.053374,0.061600,-1.827391
205,1.057596,0.065600,1.520929
206,1.058442,0.066400,0.303357
207,1.050849,0.059200,-2.740569
208,1.050849,0.059200,-0.001035
209,1.046654,0.055200,-1.522999
210,1.047492,0.056000,0.303359
211,1.045817,0.054400,-0.609821
212,1.044981,0.053600,-0.305429
213,1.057596,0.065600,4.564856
214,1.055905,0.064000,-0.609819
215,1.055905,0.064000,-0.001035
216,1.046654,0.055200,-3.349356
217,1.044145,0.052800,-0.914213
218,1.042476,0.051200,-0.609821
219,1.038314,0.047200,-1.522997
220,1.034169,0.043200,-1.522999
221,1.032516,0.041600,-0.609821
222,1.030865,0.040000,-0.609821
223,1.029217,0.038400,-0.609819
224,1.027572,0.036800,-0.609821
225,1.028394,0.037600,0.303357
226,1.034997,0.044000,2.434107
227,1.029217,0.038400,-2.131783
228,1.025109,0.034400,-1.522999
229,1.029217,0.038400,1.520929
230,1.033342,0.042400,1.520927
231,1.036654,0.045600,1.216537
232,1.042476,0.051200,2.129713
233,1.041642,0.050400,-0.305427
234,1.041642,0.050400,-0.001035
235,1.038314,0.047200,-1.218605
236,1.040809,0.049600,0.912143
237,1.039145,0.048000,-0.609821
238,1.033342,0.042400,-2.131784
239,1.029217,0.038400,-1.522997
240,1.031690,0.040800,0.912143
241,1.032516,0.041600,0.303357
242,1.030865,0.040000,-0.609821
243,1.031690,0.040800,0.303359
244,1.030041,0.039200,-0.609821
245,1.028394,0.037600,-0.609821
246,1.029217,0.038400,0.303359
247,1.024289,0.033600,-1.827392
248,1.021834,0.031200,-0.914213
249,1.018569,0.028000,-1.218605
250,1.024289,0.033600,2.129713
251,1.026750,0.036000,0.912143
252,1.027572,0.036800,0.303359
253,1.028394,0.037600,0.303357
254,1.028394,0.037600,-0.001035
255,1.024289,0.033600,-1.522999
256,1.025109,0.034400,0.303359
257,1.025109,0.034400,-0.001035
258,1.025929,0.035200,0.303357
259,1.026750,0.036000,0.303357
260,1.030041,0.039200,1.216537
261,1.030865,0.040000,0.303357
262,1.036654,0.045600,2.129715
263,1.031690,0.040800,-1.827391
264,1.031690,0.040800,-0.001035
265,1.031690,0.040800,-0.001035
266,1.029217,0.038400,-0.914213
267,1.034997,0.044000,2.129713
268,1.044981,0.053600,3.651677
269,1.041642,0.050400,-1.218605
270,1.044981,0.053600,1.216535
271,1.046654,0.055200,0.607751
272,1.048330,0.056800,0.607751
273,1.049169,0.057600,0.303357
274,1.048330,0.056800,-0.305427
275,1.050849,0.059200,0.912143
276,1.052532,0.060800,0.607751
277,1.050009,0.058400,-0.914213
278,1.054217,0.062400,1.520927
279,1.053374,0.061600,-0.305427
280,1.055905,0.064000,0.912144
281,1.055905,0.064000,-0.001035
282,1.051690,0.060000,-1.523000
283,1.049169,0.057600,-0.914213
284,1.049169,0.057600,-0.001035
285,1.047492,0.056000,-0.609819
286,1.045817,0.054400,-0.609821
287,1.046654,0.055200,0.303357
288,1.049169,0.057600,0.912143
289,1.044981,0.053600,-1.522999
290,1.048330,0.056800,1.216537
291,1.046654,0.055200,-0.609821
292,1.044981,0.053600,-0.609821
293,1.046654,0.055200,0.607751
294,1.045817,0.054400,-0.305427
295,1.042476,0.051200,-1.218606
296,1.035825,0.044800,-2.436177
297,1.040809,0.049600,1.825322
298,1.037484,0.046400,-1.218606
299,1.039145,0.048000,0.607751
300,1.037484,0.046400,-0.609821
301,1.038314,0.047200,0.303359
302,1.039145,0.048000,0.303357
303,1.038314,0.047200,-0.305427
304,1.035825,0.044800,-0.914214
305,1.035825,0.044800,-0.001035
306,1.033342,0.042400,-0.914213
307,1.029217,0.038400,-1.522997
308,1.031690,0.040800,0.912143
309,1.034169,0.043200,0.912143
310,1.034997,0.044000,0.303357
311,1.037484,0.046400,0.912143
312,1.041642,0.050400,1.520929
313,1.041642,0.050400,-0.001035
314,1.038314,0.047200,-1.218605
315,1.039977,0.048800,0.607749
316,1.041642,0.050400,0.607751
317,1.038314,0.047200,-1.218605
318,1.039145,0.048000,0.303357
319,1.039977,0.048800,0.303357
320,1.036654,0.045600,-1.218605
321,1.034997,0.044000,-0.609821
322,1.031690,0.040800,-1.218605
323,1.030865,0.040000,-0.305429
324,1.032516,0.041600,0.607751
325,1.031690,0.040800,-0.305427
326,1.036654,0.045600,1.825321
327,1.038314,0.047200,0.607751
328,1.034997,0.044000,-1.218606
329,1.036654,0.045600,0.607751
330,1.038314,0.047200,0.607751
331,1.037484,0.046400,-0.305429
332,1.036654,0.045600,-0.305427
333,1.035825,0.044800,-0.305429
334,1.038314,0.047200,0.912144
335,1.039977,0.048800,0.607749
336,1.039977,0.048800,-0.001035
337,1.044145,0.052800,1.520929
338,1.036654,0.045600,-2.740569
339,1.033342,0.042400,-1.218606
340,1.030865,0.040000,-0.914213
341,1.033342,0.042400,0.912143
342,1.035825,0.044800,0.912143
343,1.030865,0.040000,-1.827391
344,1.031690,0.040800,0.303359
345,1.036654,0.045600,1.825321
346,1.037484,0.046400,0.303357
347,1.037484,0.046400,-0.001035
348,1.032516,0.041600,-1.827391
349,1.032516,0.041600,-0.001035
350,1.034997,0.044000,0.912143
351,1.030041,0.039200,-1.827391
352,1.028394,0.037600,-0.609821
353,1.030865,0.040000,0.912143
354,1.033342,0.042400,0.912143
355,1.032516,0.041600,-0.305427
356,1.031690,0.040800,-0.305427
357,1.037484,0.046400,2.129713
358,1.036654,0.045600,-0.305427
359,1.039145,0.048000,0.912143
360,1.038314,0.047200,-0.305427
361,1.039145,0.048000,0.303357
362,1.044981,0.053600,2.129713
363,1.045817,0.054400,0.303359
364,1.046654,0.055200,0.303357
365,1.052532,0.060800,2.129715
366,1.052532,0.060800,-0.001035
367,1.050849,0.059200,-0.609821
368,1.051690,0.060000,0.303357
369,1.050849,0.059200,-0.305427
370,1.051690,0.060000,0.303357
371,1.050849,0.059200,-0.305427
372,1.046654,0.055200,-1.522999
373,1.048330,0.056800,0.607751
374,1.044145,0.052800,-1.522999
375,1.039977,0.048800,-1.522999
376,1.039977,0.048800,-0.001035
377,1.043310,0.052000,1.216537
378,1.042476,0.051200,-0.305429
379,1.037484,0.046400,-1.827391
380,1.034997,0.044000,-0.914213
381,1.034169,0.043200,-0.305427
382,1.046654,0.055200,4.564855
383,1.047492,0.056000,0.303359
384,1.046654,0.055200,-0.305429
385,1.044981,0.053600,-0.609821
386,1.044145,0.052800,-0.305427
387,1.044981,0.053600,0.303357
388,1.045817,0.054400,0.303359
389,1.045817,0.054400,-0.001035
390,1.044145,0.052800,-0.609821
391,1.044145,0.052800,-0.001035
392,1.044981,0.053600,0.303357
393,1.047492,0.056000,0.912144
394,1.051690,0.060000,1.520927
395,1.049169,0.057600,-0.914213
396,1.045817,0.054400,-1.218605
397,1.044981,0.053600,-0.305429
398,1.046654,0.055200,0.607751
399,1.043310,0.052000,-1.218605
400,1.037484,0.046400,-2.131784
401,1.038314,0.047200,0.303359
402,1.041642,0.050400,1.216535
403,1.041642,0.050400,-0.001035
404,1.044981,0.053600,1.216535
405,1.046654,0.055200,0.607751
406,1.046654,0.055200,-0.001035
407,1.045817,0.054400,-0.305427
408,1.046654,0.055200,0.303357
409,1.045817,0.054400,-0.305427
410,1.041642,0.050400,-1.522999
411,1.042476,0.051200,0.303357
